index,course_title,url,certification,level,organization,platform
53,Four Fundamentals of Financial Planning,https://www.udemy.com/four-fundamentals-of-financial-planning/,COURSE,All Levels,Business Finance,udemy
54,Options Trading - Calendar Spread Course for Every Trader,https://www.udemy.com/options-trading-calendar-spread-course-for-every-trader/,COURSE,All Levels,Business Finance,udemy
55,Dividend Investing: Build Your Portfolio for a Better Future,https://www.udemy.com/dividend-investing/,COURSE,Beginner Level,Business Finance,udemy
56,Learn Accounting. Understand Business.,https://www.udemy.com/learn-accounting-understand-business/,COURSE,Beginner Level,Business Finance,udemy
57,How to Consistently Win Trading Stocks in 30 Days or Less,https://www.udemy.com/winningstocktrades/,COURSE,Intermediate Level,Business Finance,udemy
58,A Beginner's Guide to Quantopian Futures API,https://www.udemy.com/quantopian-futures/,COURSE,Intermediate Level,Business Finance,udemy
59,How to Buy Cheap Options - Options Trading Pricing Model,https://www.udemy.com/options-black-scholes-model/,COURSE,All Levels,Business Finance,udemy
60,Excel Crash Course: Master Excel for Financial Analysis,https://www.udemy.com/excel-crash-course-master-excel-for-financial-analysis/,COURSE,All Levels,Business Finance,udemy
61,"Comprehensive Guide to Financial Markets, Investing &Trading",https://www.udemy.com/financial-markets-a-to-z-for-beginners/,COURSE,Beginner Level,Business Finance,udemy
62,Stock Trading Ninja: Complete System For Trading Success,https://www.udemy.com/stock-trading-ninja-learn-how-to-make-money-trading-stocks/,COURSE,All Levels,Business Finance,udemy
63,Hedge and Mutual Fund Careers: The Complete Guide,https://www.udemy.com/hedge-fund-mutual-fund-careers-the-complete-guide-how-to-pick-stocks/,COURSE,All Levels,Business Finance,udemy
64,Algorithmic Trading In Forex: Create Your First Forex Robot!,https://www.udemy.com/learn-mql4/,COURSE,All Levels,Business Finance,udemy
65,The Power Modeling Bootcamp: Advanced Excel in 10 Days,https://www.udemy.com/the-power-modeling-bootcamp-advanced-excel-in-10-days/,COURSE,All Levels,Business Finance,udemy
66,Options Trading Basics (3-Course Bundle),https://www.udemy.com/learn-options-trading-courses/,COURSE,Beginner Level,Business Finance,udemy
67,How to Win 97% of Your Options Trades,https://www.udemy.com/how-to-win-97-percent-of-your-trades/,COURSE,All Levels,Business Finance,udemy
68,How I Make Consistent Returns Trading Options,https://www.udemy.com/how-i-make-15-per-month-trading-options/,COURSE,All Levels,Business Finance,udemy
69,"Forex Strategies: Kelly Criterion, Larry Williams and more!",https://www.udemy.com/money-management/,COURSE,All Levels,Business Finance,udemy
70,"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",https://www.udemy.com/elite-trend-trader-how-to-make-a-fortune-trading-the-trend/,COURSE,All Levels,Business Finance,udemy
71,Options Trading Introduction: Day Trade Stock Options,https://www.udemy.com/how-to-trade-stock-options-level-1-start-day-trading/,COURSE,Beginner Level,Business Finance,udemy
72,The Almost Perfect Options Trading Strategy System - Unique,https://www.udemy.com/the-almost-perfect-options-trading-strategy-system-unique/,COURSE,All Levels,Business Finance,udemy
73,Forex Trading -  Learn to Trade Forex Like the Banks,https://www.udemy.com/forex-trading-learn-the-same-strategies-used-by-banks/,COURSE,All Levels,Business Finance,udemy
74,Learn to Trade for Profit:Trading with Japanese Candlesticks,https://www.udemy.com/introduction-to-japanese-candlesticks/,COURSE,Beginner Level,Business Finance,udemy
75,The Most Powerful Options Spread Trading Front Ratio Spread,https://www.udemy.com/the-most-powerful-options-spread-trading-front-ratio-spread/,COURSE,All Levels,Business Finance,udemy
76,What Finance Job is for You? Explanation of 14 Finance Roles,https://www.udemy.com/what-finance-job-is-for-you-explanation-of-14-financial-analyst-roles/,COURSE,All Levels,Business Finance,udemy
77,The Blueprint for Successful Stock Trading,https://www.udemy.com/stock-market-millionaire-blueprint/,COURSE,All Levels,Business Finance,udemy
78,Trading for Beginners - Intermediate Level,https://www.udemy.com/trading-for-beginners-tier-2/,COURSE,Beginner Level,Business Finance,udemy
79,Start Trading Stocks Using Technical Analysis!,https://www.udemy.com/professional-stock-trader/,COURSE,All Levels,Business Finance,udemy
80,Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,https://www.udemy.com/hedge-fund-startup/,COURSE,Expert Level,Business Finance,udemy
81,VPS for Forex Trading - Protect Your Forex Robots,https://www.udemy.com/forex-vps/,COURSE,All Levels,Business Finance,udemy
82,Introduction to Accounting: The Language of Business,https://www.udemy.com/learnaccountingforfree/,COURSE,Beginner Level,Business Finance,udemy
83,Basic Excel for Basic Bookkeeping and Accounting,https://www.udemy.com/basic-excel-for-basic-bookkeeping/,COURSE,Beginner Level,Business Finance,udemy
84,"Using 'The Greeks To Understand Options""",https://www.udemy.com/options-greeks/,COURSE,All Levels,Business Finance,udemy
85,Trading Options For Consistent Returns: Calendar Spreads,https://www.udemy.com/trading-options-for-consistent-returns-calendar-spreads/,COURSE,All Levels,Business Finance,udemy
86,How to Create Your Personal Budget,https://www.udemy.com/personal-budget/,COURSE,All Levels,Business Finance,udemy
87,The Complete Value Investing Course: A Proven Approach,https://www.udemy.com/value-investing-essential-guide-to-picking-stocks/,COURSE,All Levels,Business Finance,udemy
88,FOREX Trading with Price Action,https://www.udemy.com/forex-trading-system/,COURSE,Beginner Level,Business Finance,udemy
89,Emini ES Futures - Advanced Non Directional Options Trading,https://www.udemy.com/emini-es-futures-advanced-non-directional-options-trading/,COURSE,All Levels,Business Finance,udemy
90,Forex Trading - Advanced Fundamental Analysis,https://www.udemy.com/forex-trading-advanced-fundamental-analysis/,COURSE,Intermediate Level,Business Finance,udemy
91,How To Invest With Tiny Capital In Stocks ?,https://www.udemy.com/howtoinvest5k/,COURSE,Beginner Level,Business Finance,udemy
92,Learn How To Successfully Trade Stocks: In 5 Simple Steps,https://www.udemy.com/learn-how-to-successfully-trade-stocks-in-5-simple-steps/,COURSE,All Levels,Business Finance,udemy
93,Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,https://www.udemy.com/metatrader4/,COURSE,Beginner Level,Business Finance,udemy
94,Intermediate Options trading concepts for Stocks and Options,https://www.udemy.com/intermediate-options-trading-concepts-for-stocks-and-options-traders/,COURSE,All Levels,Business Finance,udemy
95,Options Trading 101: The Basics,https://www.udemy.com/options-trading-101-the-basics/,FREE,Beginner Level,Business Finance,udemy
96,Practical Accounts APP Overview,https://www.udemy.com/practical-accounts-app-overview/,COURSE,Intermediate Level,Business Finance,udemy
97,Bitcoin Profits for Beginners,https://www.udemy.com/bitcoin-profits-for-beginners/,COURSE,Beginner Level,Business Finance,udemy
98,Trend Traders Club: How To Find And Trade Fast Moving Trends,https://www.udemy.com/how-to-find-and-trade-profitable-fast-moving-trends/,COURSE,All Levels,Business Finance,udemy
99,Financial Statements Basics,https://www.udemy.com/financial-statements-basics/,COURSE,Beginner Level,Business Finance,udemy
100,High performance Stock Trading using key Options techniques,https://www.udemy.com/high-performance-stock-trading-using-options-trading-techniques/,COURSE,All Levels,Business Finance,udemy
101,Introduction to Financial Statement Analysis,https://www.udemy.com/introduction-to-financial-statement-analysis/,COURSE,Beginner Level,Business Finance,udemy
102,Basics of Economics (College Level),https://www.udemy.com/economics-for-accounting-and-finance-professionals/,COURSE,All Levels,Business Finance,udemy
103,Stock Market Investing for Beginners,https://www.udemy.com/the-beginners-guide-to-the-stock-market/,FREE,Beginner Level,Business Finance,udemy
104,Accounting for Beginners : Learn Basics in under 1 Hour,https://www.udemy.com/accounting-for-beginners-how-to-do-accounting-super-easily/,COURSE,Beginner Level,Business Finance,udemy
105,Straddle Options Trading - Profit in Any Market Direction,https://www.udemy.com/straddle-options-trading-profit-in-any-market-direction/,COURSE,All Levels,Business Finance,udemy
106,Fundamentals of Forex Trading,https://www.udemy.com/fundamentals-of-forex-trading/,FREE,All Levels,Business Finance,udemy
107,"Binary Options: Trading Strategies, 90% Accuracy and Signals",https://www.udemy.com/learn-trading-binary-options-from-scratch-and-3-strategies/,COURSE,Beginner Level,Business Finance,udemy
108,Website Investing 101 - Buying & Selling Online Businesses,https://www.udemy.com/cash-flow-website-investing-buy-sell-online-businesses-digital-assets/,FREE,All Levels,Business Finance,udemy
109,Practical Accounts & Bookkeeping Automated Overview ,https://www.udemy.com/practical-accounts-bookkeeping-automated-overview/,COURSE,All Levels,Business Finance,udemy
110,Live Account - ETF Trading System - Hacking The Stock Market,https://www.udemy.com/cracked-wall-street-hacked-the-stock-market-top-secret/,COURSE,All Levels,Business Finance,udemy
111,Stock Market Leverage: How to Start Trading Options Wisely,https://www.udemy.com/stock-market-tips-how-to-successfully-trade-options/,COURSE,Beginner Level,Business Finance,udemy
112,Stock Market Foundations,https://www.udemy.com/how-to-invest-in-the-stock-market-beginners/,FREE,Beginner Level,Business Finance,udemy
113,Crash Course on Working Capital Management,https://www.udemy.com/crash-course-on-working-capital-management/,COURSE,All Levels,Business Finance,udemy
